"Pattern","Blue","Red","Yellow","Black","White","Orange","Pink","Green","Brown"
"NNNNNNNNN","0","0","2","0","2","0","0","2","0"
"NNXNNNONN","0","0","0","3","3","3","0","0","3"
"NNNNXNNON","0","3","3","0","0","3","0","0","3"
"XNNNNONNN","0","3","3","3","3","0","3","3","3"
"NNNNONXNN","0","0","3","3","0","3","0","0","3"
"NNNNXNNNO","3","0","0","3","0","3","3","0","0"
"XNNONNNNN","0","3","3","0","3","3","3","3","3"
"NXNNNNNNO","3","0","3","3","3","3","3","3","0"
"NNNONNNXN","3","3","3","0","3","3","3","0","3"
"NXNNONNNN","0","0","3","0","0","3","0","3","3"
"NNNNNNXNO","3","3","3","3","3","3","0","3","0"
"NNNONXNNN","3","3","0","0","3","0","0","0","3"
"ONNXNNNNN","0","3","3","0","3","3","3","3","3"
"NXNNNOXON","5","0","5","5","5","0","0","0","5"
"ONXNNNXNO","0","0","0","5","5","0","0","0","0"
"ONNNONXNX","0","5","5","5","0","5","0","5","0"
"ONXOXNNNN","0","5","0","0","0","5","5","5","5"
"XOXNNNNNO","0","0","0","5","5","5","5","5","0"
"NNXONNNXO","5","5","0","0","5","5","5","0","0"
"XNONNNXNO","0","5","0","5","5","5","0","0","0"
"NNOXNNOXN","0","0","0","0","5","5","0","0","5"
"NOXONXNNN","5","0","0","0","5","0","5","5","5"
"OXXNNONNN","0","0","0","5","5","0","5","5","5"
"XOXNONNNN","0","0","0","5","0","0","0","5","5"
"NNOONNXNX","5","5","0","0","5","5","0","5","0"
"XNNNNXONO","0","5","5","5","5","0","0","5","0"
"ONNXNNOXN","0","5","5","0","5","5","0","0","5"
"NXONXNNON","5","0","0","5","0","5","5","0","5"
"ONONXNNXN","0","5","0","5","0","0","0","0","5"
"ONNONXXNN","0","5","5","0","5","0","0","5","5"
"XNONOXNNN","0","5","0","5","0","0","5","5","5"
"NXNXNNOON","5","0","5","0","5","5","0","0","5"
"NNOXNXONN","5","5","0","0","5","0","0","0","0"
"NOOXXNNNN","5","0","0","0","0","5","5","5","5"
"NXNONOXNN","5","0","5","0","5","0","0","5","5"
"XNOONNNNX","0","5","0","0","5","5","5","5","0"
"XNNOXNNON","0","5","5","0","0","5","5","0","5"
"OONXNNNNX","0","0","5","0","5","5","5","5","0"
"NNXONONNX","0","5","0","0","5","0","5","0","0"
"NNNONOXNX","0","5","5","0","5","0","0","5","0"
"ONNNNXNOX","0","5","5","5","5","0","5","0","0"
"XXNNNNONO","0","0","5","5","5","5","0","5","0"
"ONXNXNONN","0","5","0","5","0","5","0","5","5"
"NOOXNNNNX","5","0","0","0","5","5","5","5","0"
"XNOXNNONN","0","5","0","0","5","5","0","5","5"
"NXNNOXNON","5","0","5","5","0","0","5","0","5"
"NNOXNXNNO","5","5","0","0","5","0","0","0","0"
"XXNONONNN","0","0","5","0","5","0","5","5","5"
"NNNXNXNOO","5","5","5","0","5","0","5","0","0"
"NNNXONNOX","5","5","5","0","0","5","5","0","0"
"XXNNNNOON","0","0","5","5","5","5","0","0","5"
"XNNNOXNNO","0","5","5","5","0","0","5","5","0"
"NXONNONNX","5","0","0","5","5","0","5","5","0"
"XNNNONONX","0","0","5","0","0","5","0","5","0"
"NOXNONNXN","5","0","0","5","0","5","5","0","5"
"NNNOXOXNN","5","5","5","0","0","0","0","5","5"
"NNOXXONNN","5","5","0","0","0","0","5","5","5"
"XONONNNNX","0","0","5","0","5","5","0","0","0"
"XNNXNNOON","0","5","5","0","5","5","0","0","5"
"NNONXXONN","5","5","0","5","0","0","0","5","5"
"NNOOXNXNN","5","5","0","0","0","5","0","5","5"
"XOXNNONNN","0","0","0","5","5","0","5","5","5"
"XONNNOXNN","0","0","5","5","5","0","0","5","5"
"OONNXNNNX","0","0","5","5","0","5","5","5","0"
"NXNXNONNO","5","0","5","0","5","0","5","5","0"
"NNNNOXNOX","5","5","5","5","0","0","5","0","0"
"ONNONNXNX","0","5","5","0","5","5","0","5","0"
"ONOXNNNXN","0","5","0","0","5","5","5","0","5"
